2026-03-24 22:44:34,696 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:34,697 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:35,398 | INFO | OrchestratorCore | 状态切换: SEARCH -> AUTOSEARCH (目标丢失，自动搜索)
2026-03-24 22:44:35,399 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 22, 'queue_depth': 1}
2026-03-24 22:44:35,399 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 4, 'queue_depth': 1}
2026-03-24 22:44:35,399 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 106, 'transport': 'tcp'}
2026-03-24 22:44:35,400 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:35,401 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:35,402 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:35,401 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:35,499 | INFO | OrchestratorCore | 状态切换: AUTOSEARCH -> STOP (自动搜索超时)
2026-03-24 22:44:35,499 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 5, 'queue_depth': 1}
2026-03-24 22:44:37,406 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 104, 'transport': 'tcp'}
2026-03-24 22:44:37,407 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:54,962 | WARNING | OrchestratorService | vision_obs_in | peer_closed | extra={'src': 'ipc', 'name': 'vision_obs_in', 'event': 'peer_closed', 'peer': "('127.0.0.1', 49240)"}
2026-03-24 22:44:55,956 | INFO | OrchestratorService | 收到信号 2，准备退出
